RIC,Instrument_Name,Country,Currency,Exchange
MPC,Marathon Petroleum,United States,USD,SMART
MPWR,Monolithic Power Systems,United States,USD,SMART
MRK,Merck & Co.,United States,USD,SMART
MRNA,Moderna,United States,USD,SMART
MRSH,Marsh McLennan,United States,USD,SMART
MRVL,Marvell Technology,United States,USD,SMART
MS,Morgan Stanley,United States,USD,SMART
MSCI,MSCI,United States,USD,SMART
MSFT,Microsoft,United States,USD,SMART
MSI,Motorola Solutions,United States,USD,SMART
MTB,M&T Bank,United States,USD,SMART
MTD,Mettler Toledo,United States,USD,SMART
MU,Micron Technology,United States,USD,SMART
NCLH,Norwegian Cruise Line Holdings,United States,USD,SMART
NDAQ,"Nasdaq, Inc.",United States,USD,SMART
NDSN,Nordson Corporation,United States,USD,SMART
NEE,NextEra Energy,United States,USD,SMART
NEM,Newmont,United States,USD,SMART
NFLX,Netflix,United States,USD,SMART
NI,NiSource,United States,USD,SMART
NKE,"Nike, Inc.",United States,USD,SMART
NOC,Northrop Grumman,United States,USD,SMART
NOW,ServiceNow,United States,USD,SMART
NRG,NRG Energy,United States,USD,SMART
NSC,Norfolk Southern,United States,USD,SMART
NTAP,NetApp,United States,USD,SMART
NTRS,Northern Trust,United States,USD,SMART
NUE,Nucor,United States,USD,SMART
NVDA,Nvidia,United States,USD,SMART
NVR,"NVR, Inc.",United States,USD,SMART
NWS,News Corp (Class B),United States,USD,SMART
NWSA,News Corp (Class A),United States,USD,SMART
NXPI,NXP Semiconductors,United States,USD,SMART
O,Realty Income,United States,USD,SMART
ODFL,Old Dominion,United States,USD,SMART
OKE,Oneok,United States,USD,SMART
OMC,Omnicom Group,United States,USD,SMART
ON,ON Semiconductor,United States,USD,SMART
ORCL,Oracle Corporation,United States,USD,SMART
ORLY,O'Reilly Automotive,United States,USD,SMART
OTIS,Otis Worldwide,United States,USD,SMART
OXY,Occidental Petroleum,United States,USD,SMART
PANW,Palo Alto Networks,United States,USD,SMART
PAYX,Paychex,United States,USD,SMART
PCAR,Paccar,United States,USD,SMART
PCG,PG&E Corporation,United States,USD,SMART
PEG,Public Service Enterprise Group,United States,USD,SMART
PEP,PepsiCo,United States,USD,SMART
PFE,Pfizer,United States,USD,SMART
PFG,Principal Financial Group,United States,USD,SMART
PG,Procter & Gamble,United States,USD,SMART
PGR,Progressive Corporation,United States,USD,SMART
PH,Parker Hannifin,United States,USD,SMART
PHM,PulteGroup,United States,USD,SMART
PKG,Packaging Corporation of America,United States,USD,SMART
PLD,Prologis,United States,USD,SMART
PLTR,Palantir Technologies,United States,USD,SMART
PM,Philip Morris International,United States,USD,SMART
PNC,PNC Financial Services,United States,USD,SMART
PNR,Pentair,United States,USD,SMART
PNW,Pinnacle West Capital,United States,USD,SMART
PODD,Insulet Corporation,United States,USD,SMART
PPG,PPG Industries,United States,USD,SMART
PPL,PPL Corporation,United States,USD,SMART
PRU,Prudential Financial,United States,USD,SMART
PSA,Public Storage,United States,USD,SMART
PSKY,Paramount Skydance Corporation,United States,USD,SMART
PSX,Phillips 66,United States,USD,SMART
PTC,PTC Inc.,United States,USD,SMART
PWR,Quanta Services,United States,USD,SMART
PYPL,PayPal,United States,USD,SMART
Q,Qnity Electronics,United States,USD,SMART
QCOM,Qualcomm,United States,USD,SMART
RCL,Royal Caribbean Group,United States,USD,SMART
REG,Regency Centers,United States,USD,SMART
REGN,Regeneron Pharmaceuticals,United States,USD,SMART
RF,Regions Financial Corporation,United States,USD,SMART
RJF,Raymond James Financial,United States,USD,SMART
RL,Ralph Lauren Corporation,United States,USD,SMART
RMD,ResMed|,United States,USD,SMART
ROK,Rockwell Automation,United States,USD,SMART
ROL,"Rollins, Inc.",United States,USD,SMART
ROP,Roper Technologies,United States,USD,SMART
ROST,Ross Stores,United States,USD,SMART
RSG,Republic Services,United States,USD,SMART
RTX,RTX Corporation,United States,USD,SMART
RVTY,Revvity,United States,USD,SMART
SBAC,SBA Communications,United States,USD,SMART
SBUX,Starbucks,United States,USD,SMART
SCHW,Charles Schwab Corporation,United States,USD,SMART
SHW,Sherwin-Williams,United States,USD,SMART
SJM,J.M. Smucker Company (The),United States,USD,SMART
SLB,Schlumberger,United States,USD,SMART
SMCI,Supermicro,United States,USD,SMART
SNA,Snap-on,United States,USD,SMART
SNDK,Sandisk,United States,USD,SMART
SNPS,Synopsys,United States,USD,SMART
SO,Southern Company,United States,USD,SMART
